Journal,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10,Term_11,Term_12,Term_13,Term_14,Term_15,Term_16,Term_17,Term_18,Term_19,Term_20,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20
Journal of Public Economics ,tax,public,income,abstract,optimal,effects,taxes,taxation,effect,social,welfare,model,insurance,evidence,government,labor,policy,paper,increase,local,0.0665792316061868,0.030041455643043505,0.02705832226567962,0.02328822057126989,0.019593364686350336,0.0194122196931672,0.017659555232351253,0.01757308585853511,0.016795944055462746,0.016708282656288962,0.016468304820323566,0.01604906272374788,0.015725662563316613,0.015312682342430746,0.01519176329108459,0.01514023262096536,0.014987950814726297,0.014853383615406574,0.014111456395664216,0.013073113586944282
Journal of Econometrics ,models,estimator,estimation,estimators,model,asymptotic,tests,test,abstract,regression,data,inference,distribution,paper,method,parameters,nonparametric,series,time,carlo,0.052674410630328884,0.04312525505314732,0.0424305055316649,0.03931632036836293,0.03930425312421129,0.034866410859168646,0.03394652722558118,0.03332789696374036,0.02962593711901726,0.029365030203107028,0.02855770426748714,0.023484654697962487,0.023399924771355923,0.02273677923167436,0.021864918170938656,0.02175050387908302,0.020623275750161582,0.0204733520339195,0.020292277042056998,0.020016967165839783
Journal of Development Economics ,countries,abstract,growth,trade,effects,labor,income,evidence,model,capital,paper,developing,data,effect,regular,economic,rural,development,investment,migration,0.027683047286675668,0.02501986052033058,0.024074227338166738,0.02111487071532361,0.02011313688193947,0.01899816277425971,0.01869592463429879,0.018606608132618874,0.018476231375224167,0.017634310628138482,0.01741805596484128,0.017345762977427296,0.01728416395648781,0.01702678431755135,0.015126748583313325,0.014934749729677847,0.014382002022487189,0.014274397676718455,0.014105886176195246,0.014098278239563231
Asia and The Global Economy ,north,economic,asean,trade,korea,asia,china,korean,asian,east,countries,digital,economy,regional,global,koreas,inequality,integration,growth,ofdi,0.061673686822259086,0.050805171137971804,0.05074205517514725,0.04916437974073715,0.04649609951412417,0.04359847401207106,0.042875633007697825,0.03553502962381944,0.03387588183061204,0.03062368050409745,0.029439855042895074,0.028662898947752882,0.02751073429151117,0.02745332505366211,0.02594000370062557,0.025035289185715,0.02477709539888888,0.02466356115845119,0.024248487043855314,0.024241485295488592
Journal of Accounting and Economics ,earnings,firms,accounting,disclosure,information,reporting,analysts,financial,stock,abstract,managers,audit,tax,evidence,firm,disclosures,research,returns,market,investors,0.08028366098693508,0.06272959409136497,0.05773432188648995,0.04409569368467547,0.04109286978251546,0.028413514538212763,0.02837174439230665,0.026474694988991965,0.02583149861702991,0.02567838454080178,0.025642153048974946,0.025492481372666225,0.02344614442300283,0.02261516550965349,0.021887518569057872,0.021538819671691297,0.019825802818791812,0.01935973268306011,0.019160124178175763,0.01893394814914342
Journal of Financial Markets ,trading,liquidity,market,stock,returns,stocks,investors,price,volatility,information,traders,risk,markets,equity,firms,abstract,return,investor,short,institutional,0.07733666632376233,0.06235349096143134,0.054499941166256345,0.04647690594069567,0.04161920143293108,0.03863174198332792,0.0386216456413663,0.03475178386856221,0.03330420169976242,0.032582226298434484,0.03045434848711873,0.02975179688344146,0.026230165677867092,0.021930305217612907,0.021666136848994738,0.021070479142365817,0.02066554266409204,0.018316823151643992,0.017983576313045983,0.017224777408068447
Journal of Macroeconomics ,growth,monetary,inflation,policy,model,rate,shocks,capital,fiscal,output,abstract,labor,effects,paper,countries,economy,rates,economic,real,financial,0.0446994077629135,0.04421710658789649,0.04212876025726158,0.040621127771905484,0.03810162897875676,0.03506226321953781,0.029257248384922344,0.02642156988070525,0.024846708937157246,0.02476929272533688,0.02426961961459336,0.02143572959706323,0.02111551966381948,0.0210463261380183,0.020470686764292267,0.020186192466031892,0.019211064049739227,0.0188582493757814,0.01805092855141078,0.017996972627665704
Journal of Economics and Business ,firms,risk,market,financial,banks,bank,stock,capital,abstract,returns,markets,firm,credit,banking,model,investment,performance,results,impact,price,0.040715842642797206,0.035833131831762344,0.0325772806720931,0.02993005667761175,0.028479081688346126,0.02654925629426013,0.024952544329654307,0.022834365422762494,0.021846576443874215,0.020341273069214166,0.020257126137955467,0.01986061776430909,0.017360271873281444,0.016807087270131377,0.0166815025537144,0.016529592401441067,0.015905075074077697,0.015888821219586506,0.015802764781695917,0.015692287203447963
Journal of Financial Economics ,firms,returns,stock,market,risk,abstract,corporate,equity,investors,firm,investment,liquidity,debt,financial,capital,evidence,trading,banks,stocks,information,0.05168052068382129,0.03992682206737507,0.03478797357019639,0.032120460774677825,0.029897092093481948,0.02950363683055428,0.024694087921166685,0.0219011874194308,0.020979286125744456,0.020479185743237475,0.020145239849656018,0.019843324109604613,0.019107748523945037,0.01885181882105968,0.018744484333583892,0.018568262999294975,0.017998727581466326,0.01795925761408812,0.01751325205970303,0.0174945552760278
Economic Modelling ,model,growth,financial,policy,countries,market,economic,rate,abstract,firms,monetary,inflation,effects,results,risk,effect,volatility,stock,price,paper,0.03487289504176777,0.0291943100185998,0.025689987793838985,0.025379089363532524,0.023953258329600147,0.022607187862400704,0.020785152666444595,0.019045477995905988,0.01875552574557273,0.018748572923897547,0.017676152441687066,0.017168137317471643,0.01703311007744261,0.01678319525018691,0.016764874960086752,0.01673680451444892,0.016398808185122814,0.016228966105335568,0.016029479582297834,0.015947925877755235
Economia ,da,os,que,para,em,um,brazilian,uma,com,brazil,dos,resumo,na,das,por,entre,são,economic,growth,model,0.1359020382060874,0.09967643774456691,0.09897168004534629,0.09081087484105117,0.07993545136585548,0.07133603294608211,0.06927681657301202,0.06508266742737005,0.06427772798434975,0.05433324658178584,0.0519340115979621,0.049478988666984844,0.04676804611538661,0.046726916581360356,0.04088934598022761,0.033775463266915,0.029358586377026527,0.027593134059359207,0.025676217988810097,0.023739993431456566
Energy Policy ,energy,electricity,policy,emissions,renewable,carbon,power,gas,wind,efficiency,policies,consumption,oil,fuel,development,co2,solar,sector,generation,environmental,0.14731304594397693,0.05008826751003825,0.0359805349919337,0.03495940771002244,0.03319037159588035,0.029957559465036032,0.029604938764143142,0.026287782274553424,0.0230656000458177,0.021812478242215,0.021025988045051326,0.020965968832866264,0.020427028126263944,0.019989133124086723,0.01970932942859211,0.019703490794616908,0.018913171557154523,0.01764942237514984,0.01752182783971464,0.01719808119005867
Journal of Financial Intermediation ,banks,bank,credit,capital,lending,loan,risk,firms,liquidity,financial,debt,loans,abstract,equity,market,information,requirements,crisis,funds,investors,0.10835341817668702,0.0780259430109938,0.04412881006144318,0.04193842575174854,0.03953362547115719,0.03812067208079779,0.03790138869379173,0.03756074301308759,0.03418600714708427,0.031559707293204044,0.029847102890589543,0.02841654624463182,0.026984492012280533,0.023683801079681918,0.02300507749842754,0.020199845880730802,0.01981449195592404,0.017904841848296403,0.017179662863583686,0.01707606408959059
European Economic Review ,model,abstract,policy,firms,trade,effects,labor,monetary,countries,market,effect,paper,inflation,rate,growth,shocks,evidence,capital,data,wage,0.02673091804590905,0.025430984191883825,0.021591978414584313,0.019570768055905952,0.019434009596353365,0.01817812981623195,0.017614869602905814,0.017381277717904535,0.017243346097483923,0.017055564467889982,0.01637684741577233,0.01549348731684251,0.014154554093845303,0.013990852969698594,0.013978572473118612,0.013899267851976154,0.013544212718660041,0.013261000994485286,0.013165813195684703,0.012899655708088167
Review of Economic Dynamics ,model,labor,capital,shocks,growth,abstract,productivity,policy,market,income,equilibrium,aggregate,rate,financial,economy,tax,welfare,inflation,monetary,investment,0.05386002379443134,0.04054041047943505,0.03260797888270244,0.029267851309614214,0.028294026188804774,0.02721913801187392,0.02360540372997157,0.02356384500481907,0.02322271370399566,0.02138310711310037,0.020409839192560435,0.019903653487715556,0.01867042218018826,0.01841307836677077,0.018020812776364466,0.017989222908787645,0.01797304502109711,0.01753988775674601,0.017381585534356883,0.01736063100685793
Journal of Banking and Finance ,banks,risk,bank,financial,firms,market,credit,abstract,returns,stock,liquidity,banking,capital,investors,performance,evidence,volatility,crisis,corporate,funds,0.05074459603284275,0.04904093662881156,0.039614856495052676,0.03441432381042316,0.032308231275724464,0.03065875410729975,0.026459533278078283,0.025005884302523804,0.024625564274102053,0.023499386229422867,0.0214033988408866,0.01939161467079674,0.018836213869302693,0.01810161988555544,0.01664799992501167,0.016574807727285673,0.016317663885886038,0.015869312312483955,0.015828298222954278,0.01574217894155345
Energy Economics ,energy,oil,electricity,price,carbon,emissions,prices,market,gas,model,green,power,volatility,crude,consumption,co2,renewable,markets,environmental,results,0.09996055534389411,0.07704898514664155,0.043445383997145745,0.04177505636945763,0.034025860440696276,0.03326035925365944,0.03283732824230692,0.029478243651589058,0.023803843484213837,0.02314789464692297,0.022987652244534744,0.02136324439436373,0.021068324712166117,0.020615624163609403,0.019985495334051882,0.019931272066737137,0.019694281000499407,0.01968351384147463,0.01964635915152024,0.018598749662635628
Games and Economic Behavior ,games,equilibrium,game,players,information,abstract,equilibria,agents,nash,mechanism,preferences,player,set,auctions,auction,bargaining,strategies,strategic,model,stable,0.06492069965918987,0.04521060591039808,0.04087253827859871,0.03730567629547454,0.03044346907181639,0.0282493109542998,0.025983149701408813,0.02544032082049791,0.020953492521255467,0.01853132219066263,0.017271145901877852,0.015985755193295228,0.01552807521632562,0.015204019784624555,0.014870223133042707,0.014825958534560058,0.014615096147552948,0.014427605087342565,0.014100588846773166,0.013653023312650265
World Development ,development,summary,countries,poverty,rural,social,food,households,aid,land,local,household,economic,political,health,women,income,impact,agricultural,gender,0.03606676493317164,0.028624325377847055,0.027739928320665977,0.025886269810843233,0.02312340003113409,0.02221465911475398,0.020587282793488683,0.020029031061655565,0.019884281267049057,0.019745197523815358,0.018920029493858674,0.017727438240267554,0.017221838648774544,0.016847402348833754,0.016835223967255116,0.016105660263845873,0.015581067406270367,0.015563510219178033,0.015375776286919439,0.015209002797532765
Economics Letters ,abstract,model,paper,data,test,models,price,firms,market,effect,effects,growth,using,equilibrium,inflation,risk,income,results,rate,note,0.03275799890339668,0.020679137457437477,0.013751538860565207,0.013515440271611837,0.013191425710684839,0.013045099756893183,0.012936816020778352,0.01247563519581452,0.012116259092698402,0.011943638275798543,0.011919439261537823,0.011433152980233896,0.011304650677715545,0.010971492330275459,0.010672234333346051,0.010616512588288645,0.01047319866866428,0.009957640775241585,0.009921152387466036,0.009880641290823554
Labour Economics ,wage,labor,workers,job,employment,effects,unemployment,market,earnings,labour,wages,effect,gender,women,education,data,abstract,work,firms,jobs,0.052028719851150554,0.04795225351932136,0.04782102257997025,0.04287665665371173,0.04271759810254698,0.031744729871486785,0.028475676392993633,0.027013756675963542,0.025808444652424437,0.02532863984423022,0.024994400457592124,0.024506282932794124,0.02364795595247821,0.023313029000478595,0.02248552995558537,0.019882029700566965,0.019811946088579273,0.019746603564660518,0.018312116401095927,0.017649042034411103
Journal of Corporate Finance ,firms,corporate,firm,debt,ceo,risk,investment,cash,capital,financial,stock,directors,performance,governance,equity,higher,ownership,ceos,abstract,investors,0.10085404520419369,0.0496379203886488,0.03563115357240096,0.027579866501955538,0.026529267095317426,0.02450048622296208,0.024193310396748838,0.023891211690407792,0.023357665118583653,0.023266671345692977,0.02288116986930511,0.022037347754429115,0.022005891688931654,0.021741997388834228,0.02166536542199655,0.020726462066178165,0.01988698243512524,0.019686722655075165,0.019428625501599395,0.019190077518445252
Ecological Economics ,environmental,ecosystem,ecological,economic,water,climate,services,sustainability,forest,conservation,abstract,social,energy,sustainable,policy,management,land,carbon,change,use,0.0496946346287519,0.029715997186279913,0.029123036028185653,0.026494862847747137,0.024422402582140807,0.02206162625877923,0.021784470779471675,0.021590830543262655,0.020722432058731092,0.020388777214527608,0.019607204233681588,0.018642614147849908,0.01820239203030302,0.018173112446995307,0.01815508162292136,0.017589022214253493,0.017051585690207458,0.017045470010253663,0.01677369574495308,0.016663554466002577
European Journal of Political Economy ,political,fiscal,government,countries,public,corruption,abstract,policy,economic,tax,effect,voting,voters,elections,electoral,paper,evidence,central,governments,growth,0.052007987433476746,0.027296352303294667,0.025087515442239982,0.024609413984753824,0.024454503313251448,0.023926417827377026,0.02263346279965619,0.0219482091770823,0.019898525541807825,0.01963709148467156,0.01862856828415461,0.016729003744844748,0.01573837467647346,0.01568148639468682,0.015497381872587325,0.014907553443493938,0.014856558955096022,0.014666738080956905,0.014427044164574791,0.014355490583457219
Journal of Urban Economics ,housing,urban,land,cities,city,local,abstract,tax,model,areas,spatial,effects,residential,congestion,public,paper,agglomeration,population,location,prices,0.05853633381272169,0.042123602217369424,0.03274742706658291,0.0312711408443414,0.029111631504412466,0.028711419915719398,0.027325172705820893,0.024031717147207896,0.02093180898963425,0.020216139779132492,0.020130588897454824,0.019785030613922738,0.01927615845476491,0.018527632144392823,0.018119459318171518,0.01774158592124522,0.01756488104224902,0.01691728188852017,0.016554365388245302,0.01645894376308684
International Economics ,countries,trade,financial,exchange,des,la,les,oil,rate,growth,economic,abstract,global,paper,exports,results,policy,effect,impact,firms,0.046930750780718664,0.04446759936271021,0.035388341862214644,0.031882594458234714,0.03100554310358422,0.030049716228264314,0.029884362041988244,0.025472985480548584,0.02395483326501976,0.023748737821487217,0.023473267056912883,0.02262101095009744,0.020874835287681304,0.01975812924063053,0.019525778880119762,0.018724062762779724,0.018068596094089177,0.017977662027275628,0.01787132860356866,0.017274570620045285
Economics of Education Review ,students,school,education,schools,student,college,educational,effects,teachers,achievement,teacher,scores,academic,effect,outcomes,enrollment,abstract,evidence,higher,test,0.10636572410513177,0.08837288854744511,0.07347595834196874,0.05271247424631254,0.05136369496408187,0.04160603079051249,0.035128112183814,0.030876305422774822,0.03074220280534384,0.03066487059789264,0.029601782155445035,0.027845120275217235,0.02350941315650829,0.023113552030862215,0.021651346114515323,0.021612686171150315,0.021197309418536526,0.02013554096232743,0.019893207006312256,0.019783638935830364
International Journal of Forecasting ,forecasting,forecasts,forecast,models,series,model,accuracy,time,methods,data,abstract,using,method,prediction,approach,performance,paper,based,used,variables,0.12453935580202637,0.09474253712567182,0.0620695796095934,0.055599003475474404,0.04345701304520013,0.040546197518595124,0.03479215357988024,0.03127680565178748,0.029447845455811285,0.02902156251519186,0.027629552270130232,0.02262909745085497,0.02039333434218821,0.019143295397401748,0.01850851845038047,0.01838119289404808,0.018344147876567088,0.017765355681903416,0.01692685763493953,0.016217362983281303
The Review of Economic Studies,model,equilibrium,information,optimal,market,firms,labour,agents,price,models,paper,equilibria,behaviour,dynamic,prices,workers,policy,data,trade,welfare,0.03274201654849025,0.027974467802982073,0.025210991234335466,0.019898998094580265,0.01838431143912229,0.017816318878367026,0.01781536367331332,0.017304467221524466,0.01627871092762682,0.015962566745624244,0.01554577518332759,0.014567391810424712,0.013425270014727757,0.013416768137167424,0.013242829237468851,0.01243353946575197,0.012418779071762032,0.011785569863574097,0.011729703923666622,0.011612605898868825
The Review of Financial Studies,firms,returns,risk,market,stock,investors,information,asset,financial,trading,model,equity,credit,liquidity,investment,banks,funds,capital,prices,volatility,0.039981671510485525,0.03493030590061031,0.03276917336566985,0.030506624837663875,0.026735182963590332,0.0263277912165546,0.025549701670086567,0.022203457509899764,0.021608313547458735,0.02104152461105838,0.020695670916654398,0.020474294163352256,0.019709136855360288,0.018964783051742033,0.018694419903630653,0.017944327507089748,0.017925161775060226,0.01785589873399638,0.017829214782702954,0.01760980754055327
Journal of the European Economic Association,model,firms,effects,policy,labor,data,social,market,countries,information,evidence,workers,effect,unemployment,wage,shocks,political,paper,employment,debt,0.022087958192833393,0.01752050113679087,0.016735741591720508,0.01622590974002452,0.016189129912527623,0.015513453777839229,0.015449159458232681,0.01533289338730646,0.015060766311912667,0.014905376560529059,0.014827097824591,0.014521321881966087,0.014509789405996903,0.01425636347444709,0.013620358315255486,0.012457205786509528,0.01239674938331513,0.012333527671509987,0.011892227752627573,0.011544484317107232
The World Bank Economic Review,countries,trade,developing,article,growth,poverty,data,labor,impact,income,percent,economic,effects,evidence,education,program,households,development,household,policy,0.043859133113163806,0.031604862565346885,0.02748813449152979,0.027010743885568775,0.02648912741466271,0.02644197066974341,0.0219260900449294,0.01983048034953108,0.018278074055787016,0.01795574727051127,0.01771068028169319,0.017348829682340635,0.01713149487864593,0.016847641699153516,0.016517992547222103,0.016313152296737788,0.01586112535672315,0.015493636947771366,0.015289789036324835,0.015198378873120881
"The Journal of Law, Economics, and Organization",article,jel,firms,contracts,judicial,political,court,law,incentives,evidence,information,courts,contract,legal,agency,model,parties,judges,rights,litigation,0.028522330606252533,0.026970859837395746,0.024288291781161653,0.022983956325888694,0.020980691346165058,0.020276011560388666,0.02025774465880705,0.019599827994339836,0.01869949034950314,0.018630834253281128,0.01836835422075102,0.01767161631531687,0.0176472769435182,0.016021521548008368,0.015599620999428855,0.015556637749925474,0.015251146335486243,0.014931570166953595,0.013287741863595125,0.013273200738196418
Review of Finance,risk,firms,market,banks,investors,financial,stock,returns,equity,trading,liquidity,capital,credit,information,investment,bank,asset,funds,stocks,volatility,0.041179009480421434,0.04013599499123273,0.03238710056695641,0.032062476621043015,0.030444773499845926,0.028323204800550728,0.027466623285940635,0.026690778471235403,0.021431732591162697,0.021023053278901187,0.020501479941387617,0.020367292701134493,0.01975551188247342,0.019538583371271217,0.018685348038688675,0.018404264547182792,0.017980760608636855,0.017847283473047686,0.01752536299836251,0.017409013743192526
Junior Common Room,consumer,consumers,research,product,brand,information,behavior,choice,consumption,advertising,products,processing,effect,effects,brands,article,studies,experiments,influence,decision,0.06873863621663717,0.06470145547795418,0.041046090352560516,0.03739358366114561,0.037146956132343124,0.025692806853988615,0.023448553002489363,0.02272412649601808,0.02229266766536414,0.020483138816866343,0.02035073884009244,0.019384689392597652,0.018825599869290287,0.018818697082860464,0.01764555283597096,0.017508369804247356,0.017482261423327868,0.01640734969768978,0.016299102235179875,0.01514001943721293
The Econometrics Journal,models,estimator,estimation,tests,model,estimators,asymptotic,test,regression,data,carlo,monte,proposed,series,conditional,panel,inference,nonparametric,method,paper,0.05304432511707329,0.05192754552718295,0.04296285995244603,0.042357822627006235,0.03939465255129528,0.036699689361157306,0.03534578442318419,0.03434688310857862,0.02740563345431951,0.02611920321746658,0.025685011447843013,0.02539930157252507,0.02395063407724578,0.023235534492195488,0.023053447905778908,0.02285269551406177,0.022804466040437493,0.0227988980072347,0.02267712578910886,0.022450550534572507
Journal of Economic Geography,geography,regional,economic,article,spatial,knowledge,agglomeration,local,cities,regions,firms,urban,global,networks,location,industry,development,new,innovation,clusters,0.04574459620762706,0.03656933171161484,0.0354520733674874,0.0352457300287214,0.03407273677704974,0.03152612817108914,0.030305580050083592,0.029310306672706028,0.027022505849966225,0.026811840467214253,0.026387679297128337,0.024409771404107102,0.02300859565954395,0.020800996833184482,0.01926217518893757,0.019064777574975655,0.01887460724334761,0.018527904627678882,0.017987182994831596,0.017547431381245884
The Review of Corporate Finance Studies,firms,jel,banks,g32,corporate,financial,firm,bank,capital,debt,investment,risk,information,performance,equity,higher,finance,stock,g21,loan,0.07197253547159531,0.05197265687621424,0.043616697943321736,0.036068058320631285,0.03261504926417958,0.03141322940090289,0.026407142530197124,0.02604969323877437,0.025583866583404495,0.024231780141969805,0.024183658585829115,0.02410955717324158,0.023365956552856525,0.021991327323890388,0.02069363662500692,0.02043620183388422,0.018905423334729308,0.018654898217854505,0.01805692463757463,0.01777895832060748
Oxford Economic Papers,labour,growth,wage,model,countries,policy,capital,income,paper,effects,tax,unemployment,inflation,data,market,firms,employment,rate,monetary,economic,0.028582234817839947,0.026995254824250522,0.022720223697003883,0.020586762242483087,0.019639429694281948,0.0193262461767758,0.01908631175523155,0.017701967919593393,0.0171458225427354,0.016530588477246512,0.01613874071492775,0.015974108129312818,0.015840147077765866,0.0157650333664004,0.01573066886019753,0.015406285216736522,0.01533597768981616,0.014263222351895252,0.014003403512660802,0.013824521395993956
Journal of Financial Econometrics,volatility,models,returns,risk,model,conditional,realized,estimation,variance,financial,garch,estimator,pricing,data,asset,factor,empirical,article,tests,stock,0.06603813718417188,0.04763012143200343,0.04159675458015356,0.040946888072153825,0.040103013008128935,0.037758476778081924,0.027946118021978834,0.027835989469199976,0.02554125141169607,0.024756970442510948,0.024227079922429538,0.02372554602136739,0.021091422501640807,0.020931857854037724,0.020513436023541092,0.019709727030327917,0.01946949553301699,0.019455100746007148,0.01909317467046774,0.018647357517146544
The Review of Asset Pricing Studies,returns,g12,risk,funds,jel,market,stock,g14,stocks,fund,asset,investors,g11,pricing,performance,premium,return,volatility,model,information,0.0756786956814059,0.05408688663228339,0.04936768976554172,0.04602155013489252,0.04474637034106343,0.03860159449161872,0.035893609694932306,0.033948662388434664,0.03202277794115236,0.03147779555989467,0.03144631845556254,0.03143868411166811,0.030122198828114448,0.02856751787100381,0.026859895372480392,0.02579669679803189,0.025585707662768464,0.023709506500809926,0.021983645359864547,0.02155338996440691
IMF Economic Review,nan,exchange,des,les,rate,countries,la,monetary,reprints,permissions,policy,trade,financial,inflation,capital,rates,le,international,fiscal,et,0.07086475543052974,0.049192642524450596,0.04167216299891906,0.038878316883349376,0.037245498247246156,0.03621450072582047,0.03424051860062416,0.02720036832326359,0.02635775904669428,0.026340440766087235,0.02515774247522912,0.02395990056040589,0.023753739158911213,0.02370578062139428,0.02297528614407617,0.0223845082690208,0.02234022800556161,0.020787637608693704,0.020745492810769813,0.020348385566162995
Journal of Economic Growth,growth,economic,capital,countries,inequality,income,fertility,human,model,development,productivity,education,transition,labor,technological,rd,population,convergence,paper,technology,0.1339520939668404,0.040467498601719686,0.039503825829818665,0.03656103449187443,0.03567954061921305,0.0329660248878541,0.03142700985059577,0.031280065993969215,0.028746538485103793,0.028622385740102563,0.027285566909263856,0.024115764063268662,0.021819486796009004,0.020709273427541218,0.019389922838874227,0.01846735845732516,0.01839962545676389,0.0175281777713989,0.017259288694029696,0.016858006588907987
