Journal,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10,Term_11,Term_12,Term_13,Term_14,Term_15,Term_16,Term_17,Term_18,Term_19,Term_20,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20
Journal of Public Economics ,tax,public,income,model,effects,optimal,abstract,effect,paper,policy,social,welfare,labor,evidence,government,insurance,increase,capital,taxes,information,88.1926262791008,46.43419694967764,45.853308493876966,37.23356642716328,36.943364887439756,36.44986743133003,31.77369167340653,31.39265350528215,30.415166746775387,30.35628517333752,29.94635135906979,28.05441461642731,27.675649135292453,27.64633478225288,26.710331457884518,26.500795714034126,25.969738734465473,25.903402131820943,25.66089760401907,25.465200020202218
Journal of Econometrics ,model,models,test,tests,data,estimation,estimator,estimators,regression,paper,abstract,asymptotic,time,distribution,method,using,series,approach,variables,volatility,153.99634656484375,152.9529413307714,118.2366652191088,114.65158640787077,110.73290500187532,108.73500889389666,107.89880688858908,99.45215682000412,92.0650331511898,89.9645101329932,89.38599208897915,81.20649179158357,81.19446894388021,77.805889517091,71.48070803583204,68.65564598366018,67.63211498996833,66.29946073534599,65.97327719217489,65.6905253033333
Journal of Development Economics ,growth,countries,model,trade,effects,abstract,labor,income,paper,capital,data,evidence,effect,economic,market,firms,investment,financial,results,using,48.837264351451616,48.16288263002126,44.40994858869841,41.46254253970042,40.462535111764616,36.92622681748245,36.738653267666876,36.59534828784647,36.279707759416695,36.082741964844764,36.04230162851038,35.09025617611567,34.85991122426465,33.28975012940779,32.48476570291208,31.76676963397979,29.708898382777484,28.920448581963086,28.661926868246653,28.192580180789868
Asia and The Global Economy ,trade,economic,north,china,asean,korea,countries,asia,economy,growth,impact,paper,global,korean,inequality,regional,policy,abstract,economies,digital,2.494142098284837,2.4337841859873808,2.388859162953625,1.6954904236172719,1.6433325211610637,1.5665645400585628,1.5474074871314683,1.4181843950016237,1.414387595897698,1.3780230883659315,1.2688434352108686,1.252560176353911,1.2475473002926536,1.2458219376121644,1.2296073361749302,1.2206905916576285,1.1718969648611077,1.1640829245246553,1.1411942713553545,1.1310606169395063
Journal of Accounting and Economics ,earnings,firms,information,accounting,disclosure,tax,financial,market,stock,evidence,analysts,abstract,audit,research,reporting,firm,managers,returns,performance,results,46.203331573105096,40.201176766004295,34.06688877541981,31.068793658238036,27.332483962347744,23.354125631001818,22.650478191803447,20.73165912246567,20.723415692861213,20.118356854290564,19.659621557284158,18.991981597150705,17.886024681140434,17.711850928698226,17.45199301466283,17.144590657045672,17.083704270480904,16.87448550459053,16.741540225436292,15.851114689904717
Journal of Financial Markets ,trading,market,liquidity,price,returns,stock,information,risk,volatility,investors,stocks,firms,markets,traders,equity,short,institutional,abstract,prices,model,17.208891512521976,16.57141795883214,15.943145061027856,11.989221025092343,11.878822450094836,11.782552776102671,11.503025541366375,11.135140879028032,10.828863695076588,10.800835471661696,9.973748922209884,9.559273219757408,8.933387265729522,7.799025901722032,7.350245063896443,7.015295543327412,6.797165659233223,6.701042188723574,6.699310480809124,6.602874195756835
Journal of Macroeconomics ,policy,growth,model,monetary,inflation,rate,capital,shocks,effects,fiscal,countries,labor,paper,economic,output,abstract,financial,rates,tax,data,38.989399596772245,38.68980787256202,35.33897277860618,33.1774134519351,32.941022496383106,28.89623310597542,26.090149120738364,25.0886917927398,23.271733981166225,21.954819810340062,21.432503501664765,21.156837520027644,20.965855009005445,19.927349328314662,19.883117133102417,19.57404145343747,19.551563305547056,18.716892218501652,18.63708751078972,18.448811299542477
Journal of Economics and Business ,firms,risk,market,financial,capital,banks,bank,stock,model,returns,markets,firm,investment,rate,abstract,price,policy,results,performance,credit,17.20663906251175,15.667141106981033,14.160933130242405,12.009051931794945,10.851437571014717,10.825257748796112,10.67548623203214,10.476360153350859,10.133189592911743,9.110718686773374,8.873690949407761,8.247932318070374,8.24279734547266,7.92921127652123,7.816726608981204,7.80141848002154,7.682304527080889,7.6817878056647535,7.553778195671746,7.53865993069846
Journal of Financial Economics ,firms,returns,market,risk,stock,model,abstract,investment,corporate,evidence,information,capital,price,financial,firm,debt,liquidity,equity,investors,banks,42.42961529487962,32.23855927480434,31.111804275933626,29.388377805183147,27.61223830170752,23.27737777348877,23.170852914597706,20.621292859188635,20.311876152349065,20.266006952372926,20.02183142204263,19.997627219435905,19.505496680573476,18.65287593579772,18.36687927650731,18.32245067710367,18.2243755719064,18.105255920328226,17.659559702365783,17.55270809280914
Economic Modelling ,model,growth,policy,financial,market,countries,economic,firms,rate,risk,price,effects,inflation,monetary,effect,stock,results,volatility,capital,paper,114.94536585380487,98.1624359639835,87.29890057775985,86.74507943996933,84.32000984882242,80.26155680216688,72.89536065441452,71.4314903327752,66.89611107302977,64.25956075462017,63.062245284490416,62.33039314928184,61.89526012776332,61.74099280998419,59.728861209405856,57.87013044096564,56.17751211813704,56.15970888629765,55.23808795668461,54.84363656228607
Economia ,da,que,os,economic,model,para,em,growth,brazilian,brazil,um,uma,com,fiscal,capital,rate,results,market,abstract,paper,7.189213013494654,5.636934678411172,5.263609990396139,4.694628030320804,4.606935207324515,4.5572801993397185,4.520966502123574,4.474308793569348,4.4660576355731445,3.9318992814802947,3.8314346511151034,3.5722254019087867,3.4583619718429666,3.4557735673653114,3.430012366450198,3.3681207385765415,3.309236768279171,3.0503233723497503,3.0140544067517503,3.0012487841625144
Energy Policy ,energy,electricity,policy,emissions,power,renewable,carbon,efficiency,market,consumption,gas,wind,oil,policies,model,price,development,demand,economic,co2,531.283500613416,236.72443415065015,212.18522193321166,189.09303734935827,188.65538416565377,168.32375027447185,166.59301825053421,148.73907418789221,145.26744541712117,144.97549923860285,144.4914998834936,137.41438511976227,134.08037718036059,131.64653232612122,126.18464883647187,125.10955852134738,121.9543281614105,118.81948405608529,118.66541627672257,118.24190701606037
Journal of Financial Intermediation ,banks,bank,firms,capital,risk,credit,liquidity,lending,financial,loan,debt,market,information,abstract,equity,loans,evidence,effect,results,firm,17.8910181870381,13.74095378895447,11.315899904379904,11.270000317484708,10.68784483226805,9.99877272612641,8.867856782013831,8.262926342376025,8.031731521374292,7.957018399020412,7.776858756619473,7.72110984549672,7.013940834323174,6.749794355527664,6.029061742753003,5.972786115576786,5.608149202612328,5.593653193747498,5.55302405211015,5.216687308625253
European Economic Review ,model,policy,firms,trade,market,effects,abstract,countries,effect,paper,labor,monetary,growth,data,rate,evidence,capital,inflation,shocks,results,50.664354066087576,43.00054794399629,38.23656658099326,35.909221508480314,35.553325624309835,35.00492874302703,34.78600845549692,32.064318434341125,31.271496610033296,30.975662759520695,30.974845694245538,30.324436250282417,28.974366168130885,27.360496653404887,27.257003184081753,27.03730080634145,26.549542102951545,26.44593863814771,25.661665670736483,25.51793034861204
Review of Economic Dynamics ,model,labor,capital,growth,policy,market,shocks,income,financial,abstract,productivity,tax,firms,investment,rate,monetary,equilibrium,optimal,paper,debt,22.95128257065267,17.967865470297514,17.15969274429228,15.113362610705932,14.717816355603038,14.136414541675961,14.130149711591011,12.13565918691542,11.780738499038646,11.772198897847968,10.945648999697939,10.832438588823791,10.348661841338217,10.244944331759525,10.168005899412842,9.956060868130029,9.919829647450893,9.904957213735964,9.894001650490697,9.831572504193076
Journal of Banking and Finance ,risk,banks,firms,bank,market,financial,credit,returns,model,stock,abstract,capital,liquidity,effect,evidence,information,performance,results,volatility,markets,85.854643198602,79.0587980967433,68.65143015697537,66.45179078332178,64.81061973843754,61.34886750093715,49.29888081076716,47.42344490246681,47.270153898601,44.59497249548856,42.63747194298285,42.59831816052652,41.580595536082264,38.40225523674967,38.32943816972238,38.284826835130424,35.95105739570785,35.61302341108789,34.95177063199522,34.534868803546374
Energy Economics ,energy,oil,price,electricity,market,prices,carbon,emissions,model,volatility,power,consumption,markets,economic,effect,gas,green,policy,efficiency,shocks,243.45933651483298,205.88044894813652,142.87308816638594,123.7264004831999,120.59549432596934,114.1807261574213,103.81667935587392,102.63507145109331,100.18642822475131,84.6711538423165,80.77908436846606,80.45850032361601,80.01263499803619,77.90922464620488,76.50311713829193,76.25058754084604,75.99717164209828,74.5647416075446,74.38053967370027,74.14507907804959
Games and Economic Behavior ,games,equilibrium,information,game,players,abstract,agents,equilibria,model,mechanism,preferences,set,nash,study,paper,optimal,bargaining,strategies,behavior,results,76.64269510811398,72.21976254897368,63.56601288488595,53.445005174413275,49.31891811263055,44.742026780209805,42.77596471128142,41.302585341079,38.830290616771215,34.685622208537225,32.802064744587696,32.05073044634141,31.83365563199634,30.380632476206966,29.839677941872136,28.6531424692708,28.41985628826208,28.1719953493336,28.023714867080127,27.376733913251233
World Development ,development,countries,social,poverty,economic,food,aid,land,households,effects,growth,local,rural,income,impact,data,policy,political,health,paper,78.96095640274744,71.37231211279529,61.61040065615177,61.11065417266384,56.13343850689802,55.15643896141957,54.70167811523793,53.08906341123338,52.74040774177351,51.96850987460989,51.88421682590017,51.7823366498298,51.234442745459305,50.372728434075654,49.25646957078005,48.69105222584676,48.50368335962252,47.28987893738405,47.09597737574386,46.84232267739292
Economics Letters ,model,abstract,paper,data,price,market,models,effects,firms,test,effect,growth,using,risk,policy,results,equilibrium,income,information,rate,140.046275186894,125.39885099842937,91.86555402016867,91.52672332329321,86.13553052142572,85.04471041340825,84.90094023846915,81.86047126467274,81.2442166789105,79.95742232083876,77.03372310301094,76.82627032601181,75.6485264489627,72.04341949174514,71.73553508481946,70.53951252790947,70.17802649540567,69.15805226493568,68.49499818888248,65.00950846363364
Labour Economics ,wage,labor,workers,effects,employment,job,market,effect,unemployment,firms,earnings,data,gender,wages,education,labour,women,model,work,impact,39.296269427241604,34.77932815590024,32.90651069076553,30.86827182949465,30.43265190956495,28.972853943640438,28.052648400912624,24.096929203541038,23.8899000791107,22.32785466673363,22.313766732898483,20.235454497466083,20.121036297442544,19.79379849501952,19.7619843052066,19.653421667981938,19.18800927810176,18.232456340781663,17.80821323622161,17.634030757725007
Journal of Corporate Finance ,firms,corporate,risk,debt,firm,investment,capital,financial,market,performance,stock,cash,information,ceo,effect,higher,equity,value,evidence,ownership,87.51845698013021,44.0833620907865,39.33296712874793,38.013595896560595,37.98718799352052,35.10653119213404,33.27465828687581,32.488312622520716,32.154463614970325,31.783273661122127,31.250760241354985,31.228963993302315,30.84540480630761,29.300059703205367,28.86189947919848,28.77114387788329,27.976462518442233,26.973134018454967,26.588201289475005,26.036044121508134
Ecological Economics ,environmental,economic,energy,water,ecosystem,policy,services,model,climate,ecological,social,use,change,forest,carbon,analysis,sustainability,abstract,paper,value,109.12160111981365,85.13683030874542,71.2616913369855,70.98782661576263,69.63078357860877,68.70383617764753,66.10029566801556,65.64014968541665,64.9420129597868,63.22293741456404,61.81141526714545,61.013643262243626,56.76486855345677,56.706731052341915,56.56557841088339,55.80748084194913,55.676018529096574,55.61977279886591,55.18665430901939,54.728085030424076
European Journal of Political Economy ,political,fiscal,policy,countries,public,economic,government,tax,corruption,effect,model,abstract,growth,paper,evidence,effects,results,income,central,data,32.25743027407118,23.702885976772144,23.205766528284006,22.850040117429618,22.277500036650057,22.080974855998512,21.140126220599992,20.660429730088854,19.890784611827446,19.237885893916328,18.616622425051936,17.369528168801466,17.27673531618093,16.42407900170888,15.892737996345065,15.884977244808521,15.81508867273225,15.499372383348726,14.490992950870513,13.94429376586197
Journal of Urban Economics ,housing,model,land,urban,tax,local,effects,abstract,cities,paper,price,city,public,market,effect,prices,data,evidence,income,using,30.639665382177395,22.832672449693742,22.722955137399058,22.506649989789455,21.358565009544865,20.774497103675795,19.251293274448397,18.89087718114145,18.10543761513623,17.415913785402786,17.15447751463708,16.497367088075308,16.415078200074554,16.27351342514785,15.686777688668947,15.645811024513124,15.421765289633768,15.255781752138423,14.43754420329583,14.350097057178202
International Economics ,trade,countries,financial,exchange,economic,rate,growth,oil,firms,la,policy,model,effect,des,paper,les,results,market,effects,global,15.939069786128202,15.058345429288579,14.874155960675038,13.110909245204827,11.665202564550535,11.579588821201531,11.270258577045603,10.77479880829925,9.707779635988231,9.281933187184658,9.085994719540563,9.013998188234023,8.774144713209228,8.711253374515968,8.54853740971441,8.529831469194297,8.503350828284326,8.354487418103329,8.352280125451651,8.16426985067862
Economics of Education Review ,students,school,education,schools,effects,college,student,effect,teachers,educational,high,higher,teacher,evidence,achievement,data,test,impact,performance,scores,52.59675030230477,47.47761177093397,41.484082905629194,32.52537797801778,31.503245421358596,28.723324983442456,28.407000763056594,25.480116428785678,22.523942335501754,22.135931273060425,21.45599815161519,21.301361416322194,21.262671126132595,21.21974527603481,21.09266755503152,20.06345839182516,19.99407543542569,19.899091671965056,19.73733470989926,19.117278147936542
International Journal of Forecasting ,forecasting,forecasts,models,model,forecast,series,data,time,using,methods,abstract,accuracy,paper,results,method,approach,based,information,performance,used,96.99598209289309,87.02620634456132,79.96865780585816,79.6346903237189,62.61920574534035,57.91479876566303,57.366076941276766,52.15708860475511,44.40980858037823,44.01237462718244,41.509890171487086,39.79531520126835,39.25749888402232,36.0753281933119,33.970278009653306,33.728083980961586,32.402243811170614,32.05396163528854,31.42864800661638,30.631085665990124
The Review of Economic Studies,model,information,equilibrium,market,firms,paper,price,optimal,models,policy,agents,data,prices,labour,effects,trade,equilibria,capital,risk,workers,57.22567718729916,45.41974246381754,42.4306170756341,37.85015107488759,35.559465821556074,34.426762268444925,34.07516060478776,33.17623474965994,31.99035863353093,28.236648178988553,28.197965956047526,27.302460783003454,26.20852476189833,25.286098925628483,24.194008201775905,23.419398610435398,23.111984577070785,22.892599519966833,22.851309721943053,22.789853677545036
The Review of Financial Studies,firms,risk,market,returns,information,model,stock,financial,investors,capital,investment,credit,price,trading,prices,asset,banks,volatility,equity,evidence,75.33108556644171,62.32236648187329,62.13279039422749,59.836855936171474,56.044616939568826,55.564837012941965,47.527153630065776,43.99249796872853,43.42564419586214,39.55051431313002,39.438021981812554,39.21306409737712,39.12611903705828,38.52701260264642,38.22006013818791,37.81143493579872,36.62908182571213,36.61852924338946,36.36595548216392,35.92232585329177
Journal of the European Economic Association,model,firms,policy,effects,market,information,data,countries,social,effect,evidence,labor,paper,unemployment,wage,risk,using,workers,financial,results,19.832736583547906,16.014195613896565,15.512436335702603,15.142628093816315,14.491782853257636,14.172667475854343,13.912675839305516,13.357084534794032,13.166852127488356,13.06265311486194,12.883428950837695,12.803554735834215,12.422576758713241,11.653673130713768,11.653377944062463,11.39634602213982,11.321873412871275,11.049918130760553,10.716692650837363,10.573685041340754
The World Bank Economic Review,countries,trade,growth,data,poverty,labor,developing,effects,economic,market,income,impact,article,evidence,policy,firms,financial,results,public,education,25.655940062954336,22.280209040916148,20.565161972170944,17.437734253272076,17.115534280181613,15.195812431769616,14.922089626101968,14.660494596160643,14.63085291979061,14.57199424428594,14.450731035060278,14.128849942543964,14.112389480529057,13.6955604964241,13.517200853385267,12.812270194177717,12.104681812943173,12.018437109492647,11.68962638921961,11.40769863109543
"The Journal of Law, Economics, and Organization",firms,model,information,evidence,contracts,political,article,policy,incentives,effect,jel,contract,law,court,optimal,judicial,public,agency,costs,performance,12.508928693305094,10.752360194660744,10.576365930099222,10.303342746052326,9.726678530887023,9.440283995919314,9.165293112602019,8.43157123068813,8.246262292254867,7.637591992751897,7.4954795275350055,7.446616159827255,7.308512416230909,7.179959195623232,7.064633098336057,6.848237756388398,6.676750060357722,6.618982686784396,6.562956235380566,6.507438844373271
Review of Finance,firms,risk,market,banks,financial,returns,investors,stock,model,information,capital,liquidity,trading,credit,evidence,investment,equity,volatility,markets,bank,26.912335202058795,26.03022190461416,22.930897922415877,20.021493829855995,19.07151234574187,16.975257034605438,16.807878687282557,16.607626077834023,16.174197282307894,15.665859423017372,15.310306712908455,14.117621657095311,13.842206656639366,13.401842637253125,13.227418926487823,13.218849995712851,13.181818081184156,12.517914746787069,12.325021676887763,12.243856559955264
Junior Common Room,consumer,consumers,information,product,research,brand,choice,effects,behavior,effect,consumption,study,results,model,price,products,social,advertising,decision,influence,61.226580256142185,60.75204676437713,49.1835864834743,47.441112691827904,45.19058284698601,41.18309763347383,38.95468147066366,38.25106494908923,35.98718334083058,35.685817812722064,34.32009862612891,30.86094321391365,30.602808457121043,29.95252197561568,28.74019282314522,27.925462569362995,27.87356680046863,26.091632596234074,26.01958695226686,25.445691418034688
The Econometrics Journal,model,models,tests,estimator,test,estimation,data,estimators,effects,paper,regression,panel,asymptotic,time,based,series,conditional,proposed,method,results,21.897696820668198,21.428568857666036,18.729672748832066,17.559386352690087,16.858229589803592,15.821849681584235,15.046318016673906,13.00948703541362,12.71500563825827,12.509115479318574,12.104184362605963,12.045932931543959,11.648673743853895,11.23088245684609,10.406715300854252,10.327013420069486,10.28102635530881,10.200231733026314,10.149790980968062,10.136519331641987
Journal of Economic Geography,economic,firms,regional,knowledge,local,geography,spatial,article,regions,global,cities,new,growth,market,urban,agglomeration,development,effects,industry,innovation,23.981863691671307,19.892507324995947,19.160346971044728,19.134648927555194,17.67634494463967,17.349839442683248,16.557699825257625,15.985823975509142,14.866533292871953,14.807032399883289,14.483136583242551,14.187438970887863,14.074310572500016,13.742779873981847,13.60451689701109,13.323401161305691,13.300284939999237,12.800066935511548,12.648293163790873,12.427727920021878
The Review of Corporate Finance Studies,firms,banks,financial,capital,information,risk,investment,corporate,firm,jel,higher,debt,bank,performance,market,stock,evidence,equity,crisis,finance,6.971276625819306,4.910252983569897,3.792865360769337,3.5609413072049314,3.5598592278909846,3.479108486495027,3.2972673114621136,3.2319486434849325,3.095956024816181,2.9312232190066037,2.8986799600896718,2.8978219687669347,2.8752073443819692,2.8552622835368298,2.8403876266405255,2.528885177148129,2.492265995845672,2.3635893523581464,2.262506558217136,2.2571981527602034
Oxford Economic Papers,growth,model,policy,wage,labour,capital,countries,paper,market,income,effects,firms,tax,data,inflation,economic,using,evidence,effect,rate,28.23951586321639,25.079673890965744,22.251511434029045,20.636037266876624,20.478590256848832,20.256858657903695,20.025794964915555,19.754436873983195,19.274637802909144,19.155613325508114,18.87183576337579,17.93334697254029,17.87539389797081,17.83261869747124,17.044204477496862,16.32310325769547,16.01698775000773,15.99377763767146,15.951732093389447,15.824775699277623
Journal of Financial Econometrics,volatility,model,models,risk,returns,conditional,data,estimation,financial,realized,market,tests,variance,using,test,estimator,price,new,pricing,factor,21.965720842930736,21.73129925362341,19.21345742254784,17.540404083541436,15.642324230151573,13.21126587391376,11.951862937146167,11.337889312169665,11.200509609240045,10.379499196966394,10.028957102950715,9.834034322079976,9.794016875391158,9.77422163953004,9.624815960081476,9.595767321301146,9.577627005796407,9.48423388398313,9.438882474088329,9.255714326559511
The Review of Asset Pricing Studies,returns,risk,market,funds,model,stock,performance,stocks,information,fund,asset,investors,pricing,jel,models,volatility,price,return,premium,value,6.833047273217087,5.832653508357288,5.504190878221285,5.100859649185684,4.351335638705427,4.256209260060928,4.008867466358871,3.7658548047727645,3.630728108294516,3.608334900702056,3.5545956647022705,3.5094310390058934,3.3970681390262913,3.2071997858208348,3.0626728882209857,3.013110581286646,2.983266157083082,2.9488582313231007,2.921367241382265,2.815512492972948
IMF Economic Review,nan,exchange,des,rate,les,la,countries,policy,permissions,reprints,monetary,financial,trade,capital,et,model,paper,rates,inflation,growth,69.62382104227045,58.05162377934126,52.33040316119708,50.9082176189398,48.421695237434946,47.268197636244935,47.085016176275204,41.73415177504528,40.074460224449,40.074460224449,37.4786364579721,36.73034942269879,36.64052755793375,35.618042787598064,35.2699711987142,34.80605447582166,34.57821060215034,32.87584317063648,32.63248582573235,31.34933742153255
Journal of Economic Growth,growth,capital,economic,countries,model,income,inequality,human,development,fertility,productivity,paper,education,labor,transition,data,evidence,effect,effects,population,25.227927244545775,11.479260812512015,11.037869786946747,10.715941430925232,10.488929153171858,10.081078624823629,10.03170088388509,7.929338362220104,7.893427969023602,7.828387110635827,7.605882497142361,6.944802049005721,6.841750486062656,6.673334173598502,6.186167985364738,6.026825733378464,5.924257213378508,5.774479099117275,5.666908104368543,5.653223229790028
Journal of Risk and Uncertainty,risk,utility,insurance,preferences,ambiguity,theory,aversion,choice,information,decision,model,probability,expected,risks,subjects,results,individuals,value,preference,effects,45.337821266960674,24.209809689680277,19.20478922661903,19.070396999493962,18.869881382079928,17.24614905603122,16.995547363431065,15.737001754738872,15.545733451348271,15.194334972633213,15.118353058877519,14.446367095960886,14.441030401498134,13.992083457075099,13.506736984748326,13.30835249074602,13.187012973777925,13.005267356100001,12.824147856962776,12.652462062463995
Journal of Population Economics,fertility,labor,effects,children,model,effect,population,growth,education,paper,immigrants,data,income,migration,child,social,women,health,market,family,42.577621466323066,31.507917853092778,29.21604274271794,28.195560121283044,28.17779967723817,27.774753450926216,27.700824167095657,27.143849016399308,27.059346831864428,25.769324504540062,24.666878726203596,24.49408027698995,24.492656057202353,22.85590745324628,22.72527676468354,22.117640437986573,22.02129404825707,21.867355449307276,21.83331350565631,20.825405225634476
Economic Theory,equilibrium,model,information,equilibria,agents,paper,games,utility,market,optimal,preferences,set,price,existence,economy,markets,theory,risk,growth,conditions,81.69290043229545,61.33989040910547,59.96852081383705,52.466406065827684,45.63815653293784,44.495507647255245,44.483032061079854,43.239432873373325,42.893273605682964,41.54642391595846,37.26838077146218,36.65129084659976,36.460628683346556,36.31922909155653,34.12553084663078,33.39238236032803,32.34990615705281,31.858492656392983,31.66839353610963,31.440270619760735
Public Choice,public,political,reprints,permissions,choice,voting,economic,government,model,university,paper,theory,policy,economics,state,social,voters,new,tax,analysis,136.7386073452935,128.09161771034584,107.43124739796201,107.41005630865472,100.35641845248759,94.00406396355368,90.77153248842232,90.15081041779837,81.66593594783537,79.71915021466984,72.70169332521878,71.27099012228835,69.91667564796724,64.31567951023374,60.867804492099225,58.69595106803563,54.47747803393663,53.667138531258374,51.68781313710834,51.6024483812382
Empirical Economics,model,data,growth,countries,results,paper,effects,using,models,rate,inflation,market,economic,price,income,evidence,empirical,financial,analysis,effect,86.89406518852275,67.93625223962556,62.242201373555986,58.44021548411593,55.51352182378818,55.46753735864917,54.965043600961515,54.84315333811873,54.74498729535839,53.32575394706449,52.26952020961593,51.33390651543045,49.994474301436256,48.64829798398611,48.0758644400854,46.72347610949155,44.94817621707672,44.90259345575224,44.55389652337533,43.848214601361455
